Clip,Deviation,Maneuver,WeatherCondition,ParkingGarage,DrivingMode,ArtificialLight,DynamicObjects,DirectionChange,LightCondition,ParkingManeuver,Seasons,StaticObjects,Location,VID_START_FRAME,VID_START_ELV,VID_START_LAT,VID_START_LNG,VID_START_TSTMP,SCN_START_FRAME,SCN_START_ELV,SCN_START_LAT,SCN_START_LNG,SCN_START_TSTMP,VID_END_FRAME,VID_END_ELV,VID_END_LAT,VID_END_LNG,VID_END_TSTMP,SCN_END_FRAME,SCN_END_ELV,SCN_END_LAT,SCN_END_LNG,SCN_END_TSTMP
W005643_20220728_065839,DEV_1_NO_DEVIATION,MAN_1_STRAIGHT,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_1_DIRECTION_CHANGE,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,23831.0,160.86439514160156,51.53288015732857,13.923719294669397,1.658991520796183e+18,23903.0,160.86241149902344,51.532880162735424,13.92371933155795,1.658991522946187e+18,26174.0,161.74795532226562,51.532576923029694,13.923871384678925,1.658991586126326e+18,26066.0,161.74502563476562,51.53257675678141,13.923871363291223,1.658991583256234e+18
W005643_20220728_070350,DEV_3_FIXED_0_75,MAN_1_STRAIGHT,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_1_DIRECTION_CHANGE,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,35028.0,160.9129638671875,51.53286317400481,13.923738998317448,1.658991831786158e+18,35173.0,160.9027862548828,51.5328633793112,13.92373869060205,1.6589918355265838e+18,37692.0,161.700439453125,51.532567635382605,13.923873555852202,1.658991906276675e+18,37620.0,161.71456909179688,51.53256756801002,13.923873471176186,1.658991903806196e+18
W005643_20220728_070804,DEV_4_FIXED_1_25,MAN_1_STRAIGHT,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_1_DIRECTION_CHANGE,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,44316.0,160.85687255859375,51.532868442189695,13.9237443405654,1.658992089526594e+18,44532.0,160.85000610351562,51.53286851775182,13.923744023340078,1.658992095378512e+18,46871.0,161.61636352539062,51.53257862276036,13.92384896507545,1.6589921607562598e+18,46798.0,161.61607360839844,51.53257873629269,13.923848856786035,1.658992158926174e+18
W005643_20220728_071829,DEV_1_NO_DEVIATION,MAN_3_CURVED,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,66666.0,161.19996643066406,51.53243342542115,13.923558321128718,1.658992710663858e+18,66732.0,161.19338989257812,51.53243351507607,13.923558533089297,1.65899271330545e+18,68361.0,161.6934814453125,51.53255784802788,13.923878916059662,1.6589927574882532e+18,68254.0,161.69459533691406,51.532557687394274,13.923878538827298,1.658992754603965e+18
W005643_20220728_072054,DEV_1_NO_DEVIATION,MAN_3_CURVED,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,71836.0,161.21832275390625,51.532436537712016,13.92355621821794,1.658992854793918e+18,71914.0,161.21035766601562,51.53243660941401,13.923556168670753,1.658992856774275e+18,73512.0,161.66903686523438,51.532569364811515,13.923867448754796,1.658992901163846e+18,73478.0,161.67324829101562,51.53256953497659,13.923867462707578,1.65899289959391e+18
W005643_20220728_072259,DEV_2_SMALLER_0_5,MAN_3_CURVED,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,76389.0,161.2350616455078,51.5324323144237,13.923550164219327,1.658992980793832e+18,76498.0,161.23941040039062,51.53243243403135,13.923550317757437,1.658992983525175e+18,78260.0,161.69888305664062,51.532562914680916,13.92388400600611,1.658993032803851e+18,78154.0,161.7077178955078,51.532563044758284,13.923883991507196,1.658993030254241e+18
W005643_20220728_073250,DEV_1_NO_DEVIATION,MAN_2_S_SHAPE,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,97658.0,161.62757873535156,51.532271190811755,13.924336335237104,1.6589935717891e+18,97767.0,161.62844848632812,51.53227109831902,13.924336065173936,1.658993574430933e+18,99504.0,161.61929321289062,51.53258342783801,13.923900808897326,1.658993622411176e+18,99393.0,161.6310272216797,51.53258342780659,13.923901058404862,1.658993620179117e+18
W005643_20220728_073535,DEV_1_NO_DEVIATION,MAN_2_S_SHAPE,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,103603.0,161.6188201904297,51.53226613644377,13.92433925000494,1.658993736811857e+18,103660.0,161.61317443847656,51.53226609143377,13.924339457480746,1.6589937389018742e+18,105646.0,161.61758422851562,51.5325875862306,13.923896217004831,1.65899379365266e+18,105568.0,161.6044158935547,51.53258765766849,13.923896069111024,1.658993791621883e+18
W005643_20220728_073736,DEV_2_SMALLER_0_5,MAN_2_S_SHAPE,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,107950.0,161.58473205566406,51.53226790301766,13.924329187790377,1.65899385789185e+18,108024.0,161.581298828125,51.53226773325257,13.92432934327778,1.658993860242048e+18,109910.0,161.62225341796875,51.532583135805396,13.923891966131432,1.658993911938533e+18,109836.0,161.59979248046875,51.532583127256245,13.923891710237,1.6589939098185551e+18
W005643_20220728_081729,DEV_1_NO_DEVIATION,MAN_2_S_SHAPE,WEA_2_CLOUDY,GAR_1_GARAGE_CARPORT,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_1_DIRECTION_CHANGE,LC_1_DAY,PIO_2_PARK_OUT,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_19_VDC,35331.0,172.65577697753906,51.53486816608498,13.924664025359041,1.658996251049763e+18,35403.0,172.63050842285156,51.53486945978818,13.924660177500712,1.658996252959594e+18,38032.0,172.58851623535156,51.5350722390941,13.92500641422209,1.658996326609982e+18,37956.0,172.5898895263672,51.53507222713209,13.92500665188126,1.658996324787233e+18
